mode,window,scenario,scenario_kind,scenario_value,input_bytes,hash_match,sender_duration_seconds,sender_throughput_bytes_per_second,sender_retransmissions,receiver_duration_seconds,receiver_retransmissions
sr,4,L0,latency,0,16320,True,0.005047184000432026,3233486.236801165,0,0.23476943700006814,0
sr,4,L1,latency,50,16320,True,0.9699825079997026,16825.045673921577,0,1.2134883779999655,0
sr,4,L2,latency,100,16320,True,1.918397527999332,8507.100203063692,59,2.17737836500055,1
sr,4,L3,latency,150,16320,True,2.8635191550001764,5699.280890614121,67,3.0702104499996494,1
sr,4,P0,loss,0,16320,True,0.004901586999949359,3329533.883652093,0,0.2595562399992559,0
sr,4,P1,loss,1,16320,True,0.006383582000125898,2556558.371096061,3,0.25414120400000684,0
sr,4,P2,loss,5,16320,True,0.005468138000651379,2984562.5692065414,6,0.2546021420002944,0
sr,4,P3,loss,10,16320,True,0.009056668999619433,1801987.022015023,17,0.28144021299976885,0
sr,4,P4,loss,25,16320,True,0.11037690099965403,147857.02309264106,28,0.38192973399964103,0
sr,4,R0,reorder,0,16320,True,0.3967067200001111,41138.70317093552,0,0.6412499489997572,0
sr,4,R1,reorder,10,16320,True,0.39604517400039185,41207.4204443755,0,0.6191921240006195,0
sr,4,R2,reorder,25,16320,True,0.4184518649999518,39000.90157323562,6,0.6715754850001758,0
sr,16,L0,latency,0,16320,True,0.006146485000499524,2655176.0882315137,0,0.3016645929992592,0
sr,16,L1,latency,50,16320,True,0.3563820270001088,45793.55512783763,0,0.6561302780000915,0
sr,16,L2,latency,100,16320,True,0.7148793460000888,22829.027151664235,64,0.9633789259996774,1
sr,16,L3,latency,150,16320,True,1.058084547999897,15424.098226223778,67,1.3337056089994803,1
sr,16,P0,loss,0,16320,True,0.007686426999498508,2123223.183029616,0,0.28850769299970125,0
sr,16,P1,loss,1,16320,True,0.01934735200029536,843526.2872020345,30,0.2808126939999056,0
sr,16,P2,loss,5,16320,True,0.013441890000649437,1214114.9793080816,32,0.23174305299926345,0
sr,16,P3,loss,10,16320,True,0.013751315000263276,1186795.590071753,48,0.2680851539998912,0
sr,16,P4,loss,25,16320,True,0.4171625529997982,39121.44050956533,59,0.6931929850006782,0
sr,16,R0,reorder,0,16320,True,0.1477172380000411,110481.35086302832,0,0.41220914099994843,0
sr,16,R1,reorder,10,16320,True,0.14633984299962322,111521.23485633383,0,0.40337523900052474,0
sr,16,R2,reorder,25,16320,True,0.14834840100047586,110011.29698693314,0,0.4095371270004762,0
